ID,Tiempo,PARA1,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,THR,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,P_FRQ
1,16.4855638,0.0018,1,36,54,140,700,81,77,0.002,31,4,50,75,111,878461.0,402391.0,172,97
1,16.4857237,0.0012,2,7,15,10,213,69,70,0.0,26,2,50,63,285,82106.0,8153.0,237,92
1,16.4895035,0.0018,1,22,5,0,84,53,60,0.002,31,3,50,32,136,14854.0,549.796,595,97
1,28.271685,0.0012,1,60,33,50,436,77,76,0.004,37,7,50,69,116,370026.0,92203.0,194,92
1,28.271809,0.0012,2,4,17,10,213,64,80,0.0,26,1,50,76,250,85186.0,6217.0,270,92
1,62.2453455,0.0024,1,8,10,0,154,55,65,0.002,31,2,50,54,250,27724.0,906.242,553,92
1,62.2459388,0.0018,1,19833,2242,6610,20000,87,112,0.04,55,2223,50,114,112,41290000.0,18497000.0,308,92
1,62.246848,0.0024,2,100,4,0,106,51,38,0.0,26,3,50,200,30,12749.0,349.087,485,92
1,62.2476537,0.0024,2,758,35,20,778,56,45,0.0,26,33,50,100,43,130022.0,3743.0,404,92
1,62.2488755,0.0018,2,628,37,20,1170,55,32,0.0,26,18,50,35,28,155398.0,4027.0,389,92
1,62.2504907,0.0024,2,16780,1855,1710,19999,71,93,0.008,41,1523,50,103,90,10689000.0,1075000.0,334,92
1,62.2662865,0.0031,1,19403,2524,14790,20000,90,126,0.11,63,2446,50,130,126,92419000.0,71743000.0,280,92
1,62.2708272,0.0018,2,19741,2136,3120,20000,77,107,0.028,52,2108,50,108,106,19523000.0,3177000.0,206,92
1,62.2866235,0.0031,1,2969,2679,19860,20000,91,134,0.188,68,366,50,135,123,124055000.0,124458000.0,202,92
1,62.2911735,0.0018,2,1992,2259,4430,20000,79,113,0.044,56,216,50,113,108,27672000.0,6314000.0,180,92
1,62.3069605,0.0024,1,16047,2888,20180,20000,93,144,0.244,70,2338,50,139,145,126087000.0,130634000.0,273,87
1,62.3115157,0.0018,2,16753,2296,4290,19998,78,115,0.056,58,1922,50,115,114,26807000.0,5999000.0,270,92
1,62.327304,0.0018,1,16784,2826,19280,20000,92,141,0.29,72,2372,50,141,141,120468000.0,119599000.0,209,92
1,62.3318505,0.0024,2,8454,2319,4070,20000,78,116,0.064,59,982,50,115,116,25456000.0,5361000.0,211,92
1,62.347653,0.0024,1,940,2860,19550,20000,91,143,0.328,73,146,50,142,155,122130000.0,120787000.0,234,92
1,62.3521862,0.0018,2,8135,2269,4540,20000,79,113,0.074,60,916,50,114,112,28367000.0,6803000.0,204,102
1,62.3679885,0.0018,1,14604,2962,20780,20000,93,148,0.362,74,2159,50,148,147,129820000.0,137055000.0,241,92
1,62.3725215,0.0024,2,3730,2275,4820,20000,79,114,0.082,61,425,50,113,113,30135000.0,7458000.0,178,92
1,62.3883228,0.0018,1,12236,2921,20040,20000,92,146,0.398,75,1790,50,145,146,125184000.0,127368000.0,221,92
1,62.3928623,0.0018,2,9065,2308,4300,20000,76,115,0.09,62,1034,50,116,114,26913000.0,5837000.0,197,102
1,62.4086575,0.0024,1,9180,2778,20430,20000,94,139,0.43,75,1267,50,139,138,127623000.0,132740000.0,210,97
1,62.4131942,0.0024,2,1658,2297,4330,20000,78,115,0.096,62,191,50,114,115,27101000.0,6155000.0,202,92
1,62.4289923,0.0024,1,11243,2841,20060,20000,93,142,0.458,76,1608,50,140,143,125318000.0,128447000.0,203,92
1,62.433525,0.0021,2,6953,2311,4430,20000,78,116,0.102,63,806,50,115,115,27695000.0,6517000.0,192,102
1,62.4493205,0.0018,1,5741,2936,19610,20000,91,147,0.496,76,837,50,147,145,122518000.0,121021000.0,217,92
1,62.4538665,0.0031,2,18011,2286,4820,20000,81,114,0.11,63,2064,50,111,114,30164000.0,7826000.0,294,92
1,62.4696585,0.0024,1,14892,3118,18560,20000,91,156,0.518,77,2323,50,155,155,115968000.0,109482000.0,256,92
1,62.4742015,0.0024,2,14258,2312,4210,19999,79,116,0.114,64,1633,50,118,114,26309000.0,5805000.0,268,102
1,62.4899987,0.0018,1,2311,3180,17480,20000,90,159,0.534,77,382,50,158,165,109241000.0,97040000.0,234,92
1,62.494537,0.0024,2,12537,2405,3770,20000,77,120,0.118,64,1515,50,119,120,23609000.0,4596000.0,200,102
1,62.510337,0.0024,1,0,3103,17570,20000,90,155,0.552,77,1,50,155,1000,109761000.0,97358000.0,244,92
1,62.514873,0.0024,2,8325,2359,4010,19998,80,118,0.122,64,990,50,117,118,25072000.0,5257000.0,195,92
1,62.5306705,0.0018,1,14748,3237,17550,20000,90,162,0.57,78,2371,50,164,160,109652000.0,96947000.0,224,92
1,62.5352222,0.0024,2,14170,2419,3670,20000,77,121,0.126,65,1719,50,120,121,22935000.0,4344000.0,213,92
1,62.5510045,0.0024,1,10558,3389,17260,20000,93,169,0.586,78,1791,50,169,169,107813000.0,94878000.0,225,92
1,62.5555562,0.0024,2,6087,2377,3440,20000,75,119,0.13,65,729,50,118,119,21500000.0,3770000.0,199,102
1,62.571345,0.0031,1,488,3363,15380,20000,90,168,0.6,78,90,50,167,184,96094000.0,74773000.0,234,92
1,62.5758988,0.0018,2,13954,2325,3030,19998,75,116,0.132,65,1617,50,117,115,18975000.0,3043000.0,295,92
1,62.591682,0.0031,1,19315,3239,13480,20000,89,162,0.61,78,3136,50,150,162,84228000.0,59033000.0,246,97
1,62.596235,0.0018,2,3861,2431,2670,20000,74,122,0.134,65,458,50,122,118,16708000.0,2310000.0,206,92
1,62.612032,0.0018,1,2116,2899,7510,19999,84,145,0.614,78,339,50,143,160,46937000.0,18830000.0,297,87
1,62.6165725,0.0018,2,4622,2015,1710,19998,72,101,0.136,65,527,50,96,114,10716000.0,1070000.0,238,102
1,62.6323672,0.0024,1,2000,2732,4600,20000,79,137,0.614,78,288,50,135,144,28776000.0,6837000.0,260,92
1,62.6369447,0.0024,2,9717,1839,1180,19999,67,92,0.136,65,887,50,92,91,7412000.0,472977.0,272,92
1,62.6527025,0.0018,1,12784,2499,5340,20000,81,125,0.616,78,1597,50,125,124,33378000.0,9364000.0,252,97
1,62.6572922,0.0018,2,32,1839,1200,19999,67,92,0.136,65,4,50,91,125,7529000.0,489619.0,312,92
1,62.6730367,0.0018,1,15555,2443,5120,20000,84,122,0.618,78,1914,50,119,123,32007000.0,8875000.0,223,92
1,62.6776305,0.0024,2,1485,1726,1080,19999,75,86,0.136,65,140,50,85,94,6776000.0,420605.0,220,92
1,62.6933793,0.0018,1,16575,2490,4960,19999,82,125,0.618,78,2047,50,129,123,31035000.0,8401000.0,233,92
1,62.6979652,0.0018,2,7514,1705,1040,19999,67,85,0.136,65,640,50,85,85,6544000.0,381200.0,274,92
1,62.713714,0.0018,1,13639,2605,5080,20000,83,130,0.62,78,1777,50,130,130,31793000.0,9421000.0,231,92
1,62.718301,0.0024,2,3846,1232,750,14609,70,84,0.136,65,336,50,83,87,4700000.0,277443.0,297,102
1,62.7333587,0.0021,2,15742,1666,990,19997,66,83,0.138,65,1315,50,82,83,6190000.0,340516.0,337,102
1,62.734051,0.0018,1,2103,2643,4060,20000,82,132,0.622,78,280,50,132,133,25392000.0,5575000.0,247,92
1,62.7536937,0.0018,2,1884,391,240,4724,67,83,0.136,65,159,50,81,84,1505000.0,84533.0,315,102
1,62.754387,0.0024,1,1078,2680,3900,20000,82,134,0.618,78,160,50,133,148,24397000.0,5262000.0,239,97
