P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
102,1,0.0,2,17125,2241,4580,20000,80,112,0.022,50,1895,120,110,28658000.0,7354000.0,260,Usada
87,1,0.00037729999999669417,1,4,1,0,4,50,250,0.002,32,1,0,250,854.0,165.63,634,Usada
97,1,0.0013429999999985398,1,4,1,0,4,50,250,0.002,32,1,0,250,854.0,87.52,656,Usada
92,1,0.001780300000000068,1,182,5,0,183,51,27,0.002,32,5,0,27,22997.0,657.682,618,Usada
97,1,0.002397099999996044,1,6616,1590,1140,20000,66,80,0.008,42,469,83,70,7151000.0,454714.0,390,Usada
102,1,0.02033649999999909,2,14864,2437,8010,20000,86,122,0.076,60,1810,122,121,50052000.0,23051000.0,230,Usada
92,1,0.022733500000001072,1,9285,1761,1370,19998,67,88,0.014,46,808,88,87,8605000.0,627823.0,308,Usada
102,1,0.04067200000000071,2,18251,2650,11150,20000,88,133,0.116,64,2394,146,131,69653000.0,40496000.0,202,Usada
97,1,0.04306629999999956,1,18668,1948,2500,20000,73,97,0.022,50,1815,99,97,15665000.0,2055000.0,258,Usada
102,1,0.06100800000000106,2,17874,2721,13980,20000,89,136,0.16,67,2437,133,136,87348000.0,63277000.0,231,Usada
92,1,0.06340699999999799,1,5871,1983,2650,19999,77,99,0.03,53,582,99,99,16578000.0,2328000.0,244,Usada
102,1,0.08135459999999739,2,9724,2765,13070,20000,90,138,0.19,68,1342,138,138,81681000.0,54750000.0,226,Usada
92,1,0.08374030000000232,1,15732,1960,2850,20000,74,98,0.038,54,1548,96,98,17846000.0,2695000.0,345,Usada
92,1,0.10169030000000134,2,18868,2703,12500,20000,91,135,0.214,69,2555,130,135,78101000.0,51414000.0,213,Usada
92,1,0.10407599999999917,1,15213,1962,2560,20000,72,98,0.044,55,1495,97,98,16043000.0,2152000.0,313,Usada
92,1,0.12202580000000296,2,2487,2771,13480,20000,87,139,0.24,70,342,138,137,84226000.0,58067000.0,205,Usada
97,1,0.12441179999999719,1,5169,1965,2860,20000,75,98,0.048,56,500,98,96,17911000.0,2687000.0,235,Usada
102,1,0.14236580000000032,2,14227,2891,13240,20000,87,145,0.264,71,2063,143,145,82716000.0,56687000.0,286,Usada
87,1,0.14474709999999646,1,7382,1973,2780,19998,74,99,0.054,57,731,98,99,17391000.0,2470000.0,268,Usada
102,1,0.16270899999999955,2,12448,2822,13390,20000,88,141,0.284,72,1772,139,142,83665000.0,57467000.0,211,Usada
102,1,0.1650824999999969,1,15248,1980,2480,19998,74,99,0.058,58,1506,99,98,15525000.0,2057000.0,352,Usada
102,1,0.18304429999999883,2,5637,2759,13430,20000,87,138,0.302,72,760,139,134,83891000.0,57376000.0,246,Usada
92,1,0.18542329999999652,1,788,1976,2740,20000,76,99,0.062,58,76,98,96,17117000.0,2510000.0,240,Usada
92,1,0.20337949999999694,2,12893,2831,13870,20000,91,142,0.322,73,1817,142,140,86685000.0,62315000.0,238,Usada
92,1,0.2057582999999994,1,0,2000,2750,20000,75,100,0.064,59,1,99,1000,17224000.0,2523000.0,271,Usada
92,1,0.22371429999999748,2,3383,2992,12690,20000,87,150,0.338,73,499,150,147,79300000.0,51431000.0,242,Usada
92,1,0.226093800000001,1,1304,2005,2670,20000,76,100,0.068,59,132,100,101,16696000.0,2333000.0,247,Usada
92,1,0.2440497999999991,2,16495,3056,12670,20000,87,153,0.352,73,2524,151,153,79156000.0,51621000.0,252,Usada
92,1,0.2464365000000015,1,10374,2021,2430,20000,73,101,0.072,60,1056,100,101,15218000.0,1969000.0,278,Usada
92,1,0.2643849999999972,2,8543,2978,12560,20000,89,149,0.366,74,1273,148,149,78455000.0,50517000.0,224,Usada
92,1,0.2667714999999973,1,6283,2017,2280,20000,74,101,0.074,60,634,100,100,14288000.0,1699000.0,326,Usada
92,1,0.28471979999999775,2,6655,2956,12990,20000,89,148,0.38,74,953,150,143,81165000.0,53493000.0,222,Usada
92,1,0.28711330000000146,1,2770,2034,2400,20000,78,102,0.076,60,275,102,99,14997000.0,1966000.0,252,Usada
92,1,0.30506249999999824,2,14988,3011,11690,20000,86,151,0.392,74,2231,155,148,73066000.0,42469000.0,269,Usada
92,1,0.30744229999999817,1,6044,2054,2150,19998,74,103,0.08,61,627,102,103,13431000.0,1541000.0,342,Usada
102,1,0.3253945000000016,2,1241,3136,11090,20000,88,157,0.402,75,205,156,165,69291000.0,39398000.0,218,Usada
102,1,0.32777509999999666,1,2967,2018,1890,20000,69,101,0.08,61,315,99,106,11865000.0,1155000.0,280,Usada
102,1,0.3457289999999986,2,807,2924,9930,20000,91,146,0.41,75,114,146,141,62065000.0,31952000.0,232,Usada
97,1,0.3481129999999979,1,12479,1938,1670,20000,70,97,0.082,61,1214,96,97,10473000.0,919635.0,333,Usada
102,1,0.3660653000000025,2,999,3138,10510,20000,96,157,0.418,75,143,157,143,65710000.0,41757000.0,247,Usada
102,1,0.3684528,1,5814,1990,1870,20000,77,100,0.084,61,571,100,98,11696000.0,1287000.0,406,Usada
102,1,0.3864005000000006,2,0,2961,9260,20000,89,148,0.43,75,1,148,1000,57863000.0,28191000.0,408,Usada
92,1,0.38878799999999814,1,19764,1973,1640,20000,71,99,0.084,61,1950,97,98,10271000.0,912357.0,295,Usada
102,1,0.40674479999999846,2,8692,2728,9720,20000,86,136,0.438,75,1198,135,137,60760000.0,30893000.0,200,Usada
102,1,0.4091227999999987,1,4333,1869,1630,19999,72,93,0.086,61,410,93,94,10235000.0,912179.0,296,Usada
102,1,0.4270777999999993,2,750,2531,8320,20000,86,127,0.442,75,93,126,124,51982000.0,22855000.0,206,Usada
92,1,0.4294585999999967,1,12867,1781,1290,20000,67,89,0.086,61,1140,89,88,8091000.0,556264.0,315,Usada
92,1,0.44740999999999786,2,847,2635,8300,20000,84,132,0.448,76,110,131,129,51846000.0,22815000.0,267,Usada
92,1,0.44979329999999607,1,2783,1738,1170,20000,66,87,0.086,61,240,87,86,7357000.0,457183.0,314,Usada
92,1,0.4677422999999976,2,4714,2602,7640,20000,85,130,0.452,76,596,131,126,47749000.0,20087000.0,234,Usada
92,1,0.47012699999999796,1,2443,1220,810,15070,66,81,0.086,61,201,80,82,5079000.0,302814.0,339,Usada
92,1,0.4856332999999964,1,7932,1600,1030,20000,67,80,0.088,61,646,79,81,6467000.0,368631.0,361,Usada
102,1,0.48807680000000175,2,18895,2552,7280,20000,85,128,0.456,76,2410,128,127,45510000.0,18541000.0,347,Usada
97,1,0.5059699999999978,1,384,74,40,919,66,81,0.088,61,31,80,80,305976.0,19118.0,394,Usada
