P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.0,1,16789,2147,20000,80,107,0.028,52,1769,117,105,25407000.0,6681000.0,339,Nueva
92,1,0.0005055000000027121,2,60,1,60,50,17,0.006,40,1,0,16,6710.0,287.788,513,Nueva
102,1,0.0016010000000008517,2,363,11,368,51,30,0.006,40,11,0,30,49807.0,1204.0,466,Nueva
92,1,0.002681799999997736,2,0,1,1,51,1000,0.006,40,1,0,1000,366.0,216.56,473,Nueva
92,1,0.003132000000000801,2,1,3,44,51,68,0.006,40,1,46,1000,7351.0,424.851,486,Nueva
102,1,0.0038954999999987194,2,5,3,92,51,33,0.006,40,1,23,200,10523.0,310.615,447,Nueva
92,1,0.00441550000000035,2,8,21,374,55,56,0.006,40,1,54,125,65362.0,2146.0,378,Nueva
92,1,0.005235499999997728,2,19571,1759,20000,68,88,0.006,40,1718,95,87,8655000.0,665607.0,302,Nueva
92,1,0.02033219999999858,1,14504,2506,20000,84,125,0.074,60,1796,129,123,59427000.0,29296000.0,208,Nueva
102,1,0.02557499999999635,2,15785,2031,20000,74,102,0.016,47,1584,106,100,13959000.0,1699000.0,326,Nueva
92,1,0.040663199999997346,1,5143,2895,20000,87,145,0.12,64,755,144,146,77126000.0,48099000.0,291,Nueva
92,1,0.04590569999999872,2,1311,2152,20000,74,108,0.026,51,136,107,103,19003000.0,2918000.0,190,Nueva
102,1,0.060998499999996625,1,18046,3016,20000,88,151,0.154,66,2731,145,151,76926000.0,47920000.0,234,Nueva
102,1,0.06624279999999771,2,10328,2129,20000,74,106,0.04,55,1099,106,106,20944000.0,3566000.0,234,Nueva
87,1,0.08133219999999852,1,11149,2932,20000,88,147,0.184,68,1634,146,146,79712000.0,52385000.0,291,Nueva
102,1,0.08657769999999942,2,3510,2160,20000,78,108,0.048,56,388,107,110,20421000.0,3524000.0,258,Nueva
92,1,0.1016674999999978,1,6792,2794,20000,87,140,0.21,69,953,139,140,82971000.0,56401000.0,223,Nueva
102,1,0.10691620000000057,2,17175,2155,20000,76,108,0.056,58,1860,104,108,20583000.0,3586000.0,216,Nueva
92,1,0.12200099999999736,1,11499,3004,20000,90,150,0.236,70,1723,150,149,83120000.0,57975000.0,230,Nueva
92,1,0.1272510000000011,2,14714,2156,20000,76,108,0.062,59,1570,110,106,22273000.0,4124000.0,186,Nueva
97,1,0.14233720000000005,1,5917,3001,20000,88,150,0.26,71,896,149,151,83653000.0,57272000.0,253,Nueva
102,1,0.14758549999999815,2,774,2203,20000,77,110,0.066,59,87,110,112,19423000.0,3210000.0,188,Nueva
92,1,0.1626720000000006,1,1005,3043,20000,87,152,0.28,71,165,151,164,81284000.0,53398000.0,246,Nueva
102,1,0.16792079999999743,2,12460,2207,20000,76,110,0.072,60,1369,111,109,19110000.0,3073000.0,197,Nueva
92,1,0.18300649999999763,1,15910,2974,20000,88,149,0.296,72,2363,149,148,79022000.0,50574000.0,260,Nueva
92,1,0.18825470000000166,2,12105,2225,19999,74,111,0.076,60,1350,110,111,19039000.0,2959000.0,231,Nueva
92,1,0.20334669999999733,1,3908,3082,20000,89,154,0.314,72,584,155,149,82521000.0,55280000.0,271,Nueva
92,1,0.2085870000000014,2,3330,2167,20000,75,108,0.08,61,361,108,108,19737000.0,3198000.0,205,Nueva
