SNE1,SNE2,SNE3,Herramienta
-14.598195,1.6181288,-8.317422,H1
-12.660258,0.4068678,-8.332938,H1
-12.988768,9.564476,-9.103626,H1
-17.376673,2.8306367,-9.658526,H1
-11.364527,8.115869,-6.250255,H1
-14.015045,1.4637449,-8.947674,H1
-11.845859,9.825557,-8.306162,H1
-13.089897,1.0175073,-8.673981,H1
-11.192335,8.031368,-5.923678,H1
-17.607824,2.9684937,-10.552646,H1
-10.070559,7.4774776,-4.5039525,H1
-18.49739,3.0582082,-10.191973,H1
-12.130055,9.979481,-6.627166,H1
-12.816263,0.66378284,-8.679161,H1
-13.214136,11.300071,-7.126169,H1
-18.090044,3.0025811,-10.188231,H1
-10.151338,7.7074943,-4.3845577,H1
-11.65049,-0.5555082,-7.558344,H1
-10.826086,8.865941,-4.636696,H1
-13.27195,11.383865,-7.1124983,H1
-15.102801,1.4471574,-9.383308,H1
-11.849534,10.040322,-6.1102705,H1
-10.884353,9.043263,-4.688611,H1
-13.345359,-0.30060863,-8.332813,H1
-11.497118,9.985232,-5.5018663,H1
-12.112633,-1.0264202,-7.976666,H1
-11.503982,10.363567,-8.21696,H1
-10.941457,9.348473,-4.679538,H1
-12.168144,-1.7596445,-7.499384,H1
-12.463234,10.921726,-8.307638,H1
-16.28506,-0.01589067,-9.044936,H1
-11.155228,8.430338,-1.657103,H1
-17.424513,0.50066215,-9.433965,H1
-10.572045,8.837578,-4.129854,H1
-17.896461,0.6121667,-9.700169,H1
-1.4387132,-4.761162,-0.06414724,H1
-13.289629,-1.4074033,-8.628792,H1
-14.429105,11.628279,-5.7605767,H1
-12.333961,-1.805638,-7.9478736,H1
-11.353667,8.303753,-0.2530109,H1
-15.483215,-0.6915427,-8.969652,H1
-10.652353,10.350852,-9.037123,H1
-14.21658,-1.3531222,-8.782713,H1
-10.291405,8.295015,1.4401158,H1
-15.007965,-0.9362808,-8.944647,H1
-10.090871,7.8945622,-3.0398853,H1
-13.159498,-1.6667209,-8.419859,H1
-13.935141,11.224511,-5.3016105,H1
-11.607849,-2.5591333,-7.4666023,H1
-11.342906,10.265227,-5.0349064,H1
-15.1051235,-0.911083,-9.058702,H1
-10.323692,10.198114,-9.084578,H1
-11.598798,-2.6056252,-7.489943,H1
-12.090917,10.745384,-6.0436563,H1
-14.335183,-0.904697,-9.04686,H1
-11.662246,7.757914,-0.15770063,H1
-18.068897,1.1502864,-10.261938,H1
-10.060861,7.639133,-2.727521,H1
-17.40609,0.76056844,-9.631615,H1
0.73429006,-2.9572387,1.381581,H1
-0.7675303,-9.2239065,6.918676,H1
-7.318336,4.1208158,-0.65422815,H1
-17.771372,1.2642032,-10.090907,H1
-0.45325089,-4.8956246,0.3831186,H1
-11.913756,-0.9067552,-9.2122555,H1
-6.876005,4.126293,-0.8501723,H1
-0.38002923,-5.219067,0.21190478,H1
-14.324069,-0.9641017,-9.695827,H1
-1.4462522,-9.957805,6.7321477,H1
-7.2494454,4.0048103,-0.7255917,H1
-18.02009,1.7350966,-10.555349,H1
-1.198429,-9.726644,6.9331083,H1
-12.751494,0.83847255,-3.5705845,H1
-11.864646,-0.7347361,-9.340495,H1
-1.1973969,-4.8307147,0.05761654,H1
-10.560648,-2.1487038,-7.757268,H1
-1.2879345,-10.175807,7.5075574,H1
-1.2813466,-10.583361,7.731698,H1
-7.150063,3.5679421,-0.97538805,H1
-18.553823,2.3285897,-10.225718,H1
-1.4959835,-10.175238,7.0333457,H1
-17.141666,1.8488946,-10.641645,H1
-7.5600853,4.6747766,-10.448169,H1
-10.427389,-1.903675,-7.752863,H1
-15.578483,1.401215,-9.625485,H1
-17.010334,2.1613882,-10.701771,H1
-14.819612,1.1830775,-10.149936,H1
8.262758,-12.259568,-8.140934,H1
-11.4568405,0.14030606,-9.232958,H1
-16.742105,2.3876681,-10.462319,H1
-18.584154,2.6627374,-11.206341,H1
-10.828619,-0.87558764,-7.930118,H1
-10.252979,-2.0678725,-7.3900437,H1
-11.385243,2.5218396,-13.169274,H1
-13.828888,4.4150968,-10.74008,H1
-13.9169655,5.0640965,-11.115676,H1
-15.575081,3.8546515,-7.795877,H1
-15.618453,3.9152925,-7.731307,H1
6.693141,-11.96047,-9.380754,H1
-12.801744,3.674104,-9.787491,H1
-15.033807,3.8099577,-7.2807894,H1
-12.187686,2.9257307,-9.331967,H1
-15.316039,4.0574417,-7.3525467,H1
-15.405333,6.9035363,-9.613881,H1
-14.814388,6.593529,-8.711974,H1
-13.108594,4.339627,-9.490813,H1
-11.493988,4.4390626,-7.464201,H1
-16.468569,6.9900513,-8.668255,H1
-15.6226845,6.8063793,-9.642852,H1
-11.724071,5.612822,-7.250356,H1
-11.412505,3.3103702,-7.891145,H1
-11.652103,5.1261625,-7.258511,H1
-16.09704,7.775113,-8.355199,H1
-15.819699,6.8741584,-9.220149,H1
-15.835282,7.0620933,0.32698655,H1
-11.321858,3.5522869,-7.6529946,H1
-15.791836,8.103387,-7.994635,H1
-12.139882,5.9096336,-7.053663,H1
-13.489499,7.247201,-7.217265,H1
-13.677918,5.5480227,-8.798391,H1
-9.089854,5.6388817,-5.141032,H1
-18.360329,8.758017,-4.3018003,H1
-11.317267,3.1432164,-7.7417073,H1
-15.924366,7.18494,0.61124593,H1
-9.41913,4.430039,-10.969901,H1
-18.414083,9.061974,-4.0026493,H1
-9.4414015,0.90497017,-7.3886027,H1
-13.787459,7.6306634,-7.2394233,H1
-11.613735,6.359225,-5.9510913,H1
-9.54774,6.649018,-7.2783327,H1
-11.55118,9.919539,-9.486822,H1
9.908254,0.15089722,-10.187685,H1
-10.0072565,5.499232,-5.743482,H1
-18.97092,4.2469244,-3.267733,H1
9.889316,0.2603173,-10.030269,H1
-8.086616,4.592255,-11.848347,H1
3.0183403,-5.6308823,-12.704383,H1
0.8354537,-8.236795,-12.164122,H1
0.70572835,-8.086058,-12.176294,H1
0.61429846,-7.991645,-12.179607,H1
3.0006814,-5.5603967,-12.882174,H1
0.74276793,-8.109505,-12.174976,H1
0.84457326,-8.240142,-12.159411,H1
3.167585,-5.5360384,-12.929294,H1
-14.489966,9.0606165,-10.095519,H1
2.5467465,-5.329763,-11.550338,H1
3.1731558,-5.6011543,-12.748449,H1
8.079002,1.8887466,-10.893759,H1
-17.997993,3.5820105,-2.6505241,H1
7.780176,2.0246422,-10.6888275,H1
-8.633262,6.2408795,-10.341718,H1
-8.657784,7.00186,-10.058275,H1
1.1445405,-8.718905,-12.062249,H1
8.092429,1.9511791,-11.031277,H1
-9.764652,3.2255945,-12.3312435,H1
-9.880834,3.3063715,-12.354565,H1
-14.140012,4.5328135,-10.725194,H1
-15.509061,5.598477,-10.602813,H1
-15.699193,5.9272127,-10.413602,H1
-8.609372,7.1620336,-8.8201,H1
-15.62369,6.0148153,-10.248911,H1
-16.002401,6.5077868,-9.816608,H1
-14.236237,5.7341266,-9.080061,H1
-15.7163925,7.6006045,-9.124155,H1
6.208829,-14.178123,-5.7961907,H1
-12.762083,6.499242,-7.3574686,H1
8.066565,-13.332613,-6.0968566,H1
6.6296554,-12.798725,-7.932938,H1
8.052923,-14.029329,-6.6148915,H1
-15.086997,5.7472773,-6.2146645,H1
7.1293297,-13.20454,-7.310683,H1
7.34086,-14.120258,-6.594748,H1
-12.396066,6.629318,-6.916802,H1
7.2351646,-13.763885,-7.21272,H1
6.010324,-14.299442,-6.803385,H1
6.9069476,-14.075261,-6.076079,H1
